crop_name,year_start,india_cost_unweighted,india_cost_wavg_sample
Orange,2015,31046.78355,31046.783549999996
Orange,2016,34025.589551,34025.589551
Orange,2017,34764.43947699999,34764.439477
Orange,2018,37065.264009000006,37065.264009
Orange,2019,40111.889396,40111.889396
Orange,2020,43223.52488199999,43223.524882
Orange,2021,47337.968229000006,47337.968229
Orange,2022,51071.452631,51071.45263099999
Orange,2023,55042.864714,55042.864714
Orange,2024,59728.799235,59728.79923499999
Orange,2025,65235.820707,65235.820707000006
Paddy,1996,13785.26,13133.444875536481
Paddy,1997,15136.526000000002,14437.282347124643
Paddy,1998,17319.934999999998,16926.438059899287
Paddy,1999,19076.742500000004,18450.252930540242
Paddy,2000,19436.16,18593.0937726967
Paddy,2001,20593.814166666667,19596.384856492023
Paddy,2002,20937.105333333333,21040.305795019158
Paddy,2003,21336.449999999997,21190.87383805289
Paddy,2004,21980.400666666672,22104.356058837264
Paddy,2005,21967.58388888889,22471.633264825516
Paddy,2006,22842.239999999998,23165.328743047827
Paddy,2007,24851.667222222222,25471.37422374429
Paddy,2008,29935.70277777778,30966.62432334047
Paddy,2009,34203.91777777779,35021.64328104287
Paddy,2010,36043.38055555555,37031.032119089316
Paddy,2011,41450.229999999996,42701.29612416469
Paddy,2012,47644.50444444445,48619.60831234814
Paddy,2013,51408.031111111115,52659.21241189428
Paddy,2014,58667.95888888889,61251.71212892281
Paddy,2015,60824.26833333334,62716.17470182993
Paddy,2016,62290.606111111105,64533.43288932632
Paddy,2017,68239.31777777777,69662.68430649012
Paddy,2018,71805.86894736842,70067.74620544609
Paddy,2019,75752.40999999999,74238.56858064517
Paddy,2020,77214.18444444444,76719.75578969956
Paddy,2021,80804.21222222222,78093.31696043166
Paddy,2022,84452.75857000002,84452.75857
Paddy,2023,91402.14722399999,91402.147224
Paddy,2024,98341.7641,98341.76409999999
Paddy,2025,105178.44761,105178.44761
Papaya,2010,22242.93426,22242.934259999998
Papaya,2011,23477.143799000005,23477.143799
Papaya,2012,25532.60886,25532.60886
Papaya,2013,27821.713508000004,27821.713508
Papaya,2014,30251.107591999997,30251.107591999993
Papaya,2015,33172.518917,33172.518917
Papaya,2016,35849.135407,35849.135407
Papaya,2017,36755.74752699999,36755.747527
Papaya,2018,39440.611057999995,39440.611058
Papaya,2019,42938.619664,42938.619664
Papaya,2020,46536.56961,46536.56960999999
Papaya,2021,50617.98838399999,50617.988384
Papaya,2022,54465.26532599999,54465.26532599999
Papaya,2023,59237.00747,59237.00747
Papaya,2024,63441.48960200001,63441.48960200001
Papaya,2025,68201.085285,68201.085285
Peas (Vegetable) (Green),2005,14499.705,16174.46739884393
Peas (Vegetable) (Green),2006,15799.305,17282.06551948052
Peas (Vegetable) (Green),2007,17307.675,19267.832125984252
Peas (Vegetable) (Green),2008,19091.684999999998,20381.92352941176
Peas (Vegetable) (Green),2009,20835.635000000002,21044.918
Peas (Vegetable) (Green),2010,22174.315000000002,23164.321327433634
Peas (Vegetable) (Green),2011,30559.5,30559.5
Peas (Vegetable) (Green),2012,37032.23,37032.23
Peas (Vegetable) (Green),2013,36988.47,36988.47
Pomegranate,2010,23695.244451,23695.244451000002
Pomegranate,2011,25393.195263,25393.195263
Pomegranate,2012,27322.286075000004,27322.286075
Pomegranate,2013,29596.920713000003,29596.920713
Pomegranate,2014,31915.540041,31915.540041000004
Pomegranate,2015,34921.631017,34921.63101700001
Pomegranate,2016,37325.55117900001,37325.551179
Pomegranate,2017,37848.00652299999,37848.006523
Pomegranate,2018,40138.982816,40138.982816
Pomegranate,2019,43322.680180999996,43322.680181
Pomegranate,2020,47177.079429000005,47177.079429
Pomegranate,2021,51598.042507,51598.042507000006
Pomegranate,2022,55609.538724,55609.53872400001
Pomegranate,2023,60536.049730000006,60536.049730000006
Pomegranate,2024,65436.75492,65436.75492
Pomegranate,2025,70721.560176,70721.560176
Potato,1996,34254.585,41849.70954545455
Potato,1997,34602.399999999994,40280.18708029197
Potato,1998,38291.17,41715.95393442622
Potato,1999,35413.9825,36305.730196560195
Potato,2000,35727.3775,36319.54194148936
Potato,2001,41904.01,44435.48528089887
Potato,2002,43164.006,43954.11971311475
Potato,2003,41835.795999999995,45188.61970464136
